hash,developer_msg,rectified_commit_msg
f719b6115b9638a8d5c6789ab29caae7e163e145,fix regex,"Add setup file, enhance text converter with comments and fix regex"
1ef06a7fd3ab366ebe6c8b11d5008211d87e3efb,fix args,Add command line argument options and setup file
270c0e200d1fe1666e6057ec94bedb6e0bc434fb,fix lines and indent,Refactor text converter and PDF interpreter to improve functionality and code quality
291eebd8dcb1206e7e2e5187b13a96d138a6b1b5,fix rt,Bump version and add support for Chinese character in converter
ac2e14192cdfee974bf8333688270c24453a8ebe,debug,"Enhance debugging capabilities and fix errors across multiple modules, including updates to version, encoding, font, and parser functionality."
72320d7ae381a3ba795ab0bbdb9c0c30ef5e7807,fix frac,Update version and add support for fractional corrections in converter
71e207385a1ecd46c841ffb736b758f605f1e48c,fix bracket,"Update version and add vflag to text converter, fixing bracket issue"
880af44a509e462af7df5927ca506e1066a020b4,fix y inc,Update version and add vstack to text converter in converter.py
7c1d1b8112b3d94bf4c99b173eb636139ba18d27,fix y comp,"Update version and add text converter support with vlstk, fixing y-component issues"
45685b5b8c7ff96116430f43921e02492a5d1720,fix file,Bump version in __init__.py and fix file
fee8f64736e4ba423074e717c474a91ff31323db,fix toc,Bump version and add extract_text examples in pdf2zh.py
644fb242301c97984434c0908c22e1d281cac6b4,fix font encode and ops conflict & add opts,"Update font encoding and operations, add options, and improve documentation and versioning support"
0cdec984236981a43823129143baea93fe44b5e0,fix scn,"Update version, add formula marker support, and enhance stream parser documentation"
7eb54098c78579db96658688b74f1fdfb5f08e2d,fix vflag,Update version and add support for vflag and vstk in converter
bfa0e93083c13540bc1ac90abd981e9fcc542451,fix multi contents,"Update version, improve code readability, and add debug logging for multi-content fixes"
f511dfddab973e911fcb4003ea6b242ebde84d4e,fix space,Bump version and enhance text extraction in pdf2zh.py and converter.py
0dbce3437765fada2d1ce89a27faeda614ed9fa5,fix render order and pages option,"Enhance PDF processing by fixing render order, adding progress bar, and improving documentation, while also updating version and adding examples for text conversion and regex usage."
fef0d1efe2e8e2e5754b72adae4e5f37e1390031,fix pth,"Update model file and add examples to pdf2zh.py, fix setup.py package info"
588de9f52201b6e00830788dd095c9769cf8db16,fix dep,Update dependencies and project setup by adding setup.py and updating version in __init__.py
d6b76bf1a56528ad6902a3f97bf54030693f1ff2,fix rule,Update version and enhance converter with additional vflag and vchar support
d18abc57f7fe9004ff385f2e407ab5784b016c0d,fix dbg,Bump version and add text converter support in vgt
953764773ee836a8f134dd957cac444205897a02,fix regex,"Update text conversion and documentation, including regex fix and version bump"
b92901d9e36e30a105d52c8041850d6b1eda0633,fix cropbox and vmax,"Update version and enhance textdev output in converter, fixing cropbox and vmax issues"
b8f0c82e4e13ea55d85436a9c8a97007f2226ff4,"fix linew,fontw,vfix,vflag,cmr","Update version, enhance layout analyzer with additional text devices, and add missing docstring for improved code readability"
f3fee2b08efb5ae4aa3c3458cc0ade4971e70736,"fix vbkt,vflag,vfix,fcur","Update version and add support for -413,14,21 in croman and cms conversions"
a91b9c674344710ef37684fe0c00433b8c2f5b00,fix vend,Update version and add support for 公式出栈 in converter
51ed3f0c18500f6c8fcbb184874694df74d555fc,fix mod,Bump version and add cygwin support in converter
9e8b2519c9cfb76e537bc86e6cef6309f5bae04b,fix mod,Bump version and add crazy text support to converter
b8b02a10127be249f05cbc6e0c8f186af27809f9,fix non unicode&use tiro,Update text extraction and conversion tools to support non-unicode and add text/plain format handling
8e862c4372093e0d2a515ba172eec991ad96f684,fix quota,"Bump version and add unicode support to text converter, fixing quota issues"
482080e034fc3ba2a5506ad48cefe4f8f3b85e6b,"fix vflag,cropbox","Update version and add vflag support, fixing crash on new ops printing"
7fa544040059219e143455543f95c242ccb105dd,fix typo,"Bump version and add CMR support in converter, fixing minor typo"
c90bf830aec08fe1c71495785158b935141b861b,"fix yinc,bold",Update version and add support for consecutive formulas in converter
83e3a940f173292691c376943c73989c1450bd31,fix vert,Update version and add vflag support to text converter
4914bd95c4b5a7e66d0e14ada8e2267bcf23ca96,fix vert,Update version and add vflag support to text converter
2075f82143ef969e01a853a8156420ee645fa73e,"fix vflag,indv,yinc","Update version, add cromacs and crls support, and enhance stream class with additional info"
d263c9a837ceabed77853b682e1b6f6ea4067555,fix frac,"Update version and add support for 基于初始位置的行间分离 in converter.py, fixing fractional issues"
43dde7662084e58d7a9f55601cfb195d41006dc4,fix vmax,Bump version and add support for position-based line separation in converter
bd5952cecbfa4f022837186edd4f61daa09dc97c,fix vflag,Update version and add CRL/CMSY to text converter support
6836412f34195c525ba84e85f0ebedfdd66c13ea,"fix yinc,vfix",Bump version and enhance text converter with additional examples
6d9ef55de7ad2d2be38c34f19ecd43af5c194ac9,"fix vflag,vfix",Update version strings and enhance converter support for vfont and vchar
7017e94b2f8f06f59bde0409d7c71f864b163cef,fix vflag,Update version strings and enhance text converter support
4221ed7e01a878f719306c0363974bb03892965c,"fix linebreak,langspace",Update version strings and add multiple formula pop operations in converter
722e01ed0ffef299fcd62d0c011758d755a45cff,fix mediabox,"Update version strings, enhance layout analyzer with examples, and add mediabox support to PDF interpreter"
d1e561821d64cffe100a1bc04f7682e8f0914afd,"fix figure,dt","Update version, add text support in page content, and enhance page interpreter documentation"
