File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
OpenCC/_codeql_build_dir/CMakeFiles/4.1.1/CompilerIdCXX/CMakeCXXCompilerId.cpp,0,information,toomanyconfigs,Too many #ifdef configurations - cppcheck only checks 12 of 163 configurations. Use --force to check all configurations.,The checking of the file will be interrupted because there are too many #ifdef configurations. Checking of all #ifdef configurations can be forced by --force command line option or from GUI preferences. However that may increase the checking time.,398,0,,
OpenCC/data/dictionary/DictionaryTest.cpp,19,information,missingInclude,"Include file: ""gtest/gtest.h"" not found.","Include file: ""gtest/gtest.h"" not found.",,0,,
OpenCC/data/dictionary/DictionaryTest.cpp,21,information,missingInclude,"Include file: ""src/Lexicon.hpp"" not found.","Include file: ""src/Lexicon.hpp"" not found.",,0,,
OpenCC/data/dictionary/DictionaryTest.cpp,22,information,missingInclude,"Include file: ""src/MarisaDict.hpp"" not found.","Include file: ""src/MarisaDict.hpp"" not found.",,0,,
OpenCC/data/dictionary/DictionaryTest.cpp,23,information,missingInclude,"Include file: ""src/UTF8Util.hpp"" not found.","Include file: ""src/UTF8Util.hpp"" not found.",,0,,
OpenCC/data/dictionary/DictionaryTest.cpp,48,error,syntaxError,syntax error,syntax error,,5,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,3,information,missingInclude,"Include file: ""benchmark/benchmark.h"" not found.","Include file: ""benchmark/benchmark.h"" not found.",,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,5,information,missingIncludeSystem,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,6,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,7,information,missingIncludeSystem,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,9,information,missingInclude,"Include file: ""pybind11/operators.h"" not found.","Include file: ""pybind11/operators.h"" not found.",,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,10,information,missingInclude,"Include file: ""pybind11/pybind11.h"" not found.","Include file: ""pybind11/pybind11.h"" not found.",,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,11,information,missingInclude,"Include file: ""pybind11/stl.h"" not found.","Include file: ""pybind11/stl.h"" not found.",,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,12,information,missingInclude,"Include file: ""pybind11/stl_bind.h"" not found.","Include file: ""pybind11/stl_bind.h"" not found.",,0,,
OpenCC/deps/google-benchmark/bindings/python/google_benchmark/benchmark.cc,46,error,syntaxError,syntax error,syntax error,,1,,
OpenCC/deps/google-benchmark/cmake/gnu_posix_regex.cpp,1,information,missingIncludeSystem,Include file: <gnuregex.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <gnuregex.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/gnu_posix_regex.cpp,2,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/posix_regex.cpp,1,information,missingIncludeSystem,Include file: <regex.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <regex.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/posix_regex.cpp,2,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/std_regex.cpp,1,information,missingIncludeSystem,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/std_regex.cpp,2,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/steady_clock.cpp,1,information,missingIncludeSystem,Include file: <chrono> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <chrono> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/cmake/thread_safety_attributes.cpp,0,information,toomanyconfigs,Too many #ifdef configurations - cppcheck only checks 12 of 36 configurations. Use --force to check all configurations.,The checking of the file will be interrupted because there are too many #ifdef configurations. Checking of all #ifdef configurations can be forced by --force command line option or from GUI preferences. However that may increase the checking time.,398,0,,
OpenCC/deps/google-benchmark/src/mutex.h,4,information,missingIncludeSystem,Include file: <condition_variable> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <condition_variable> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/mutex.h,5,information,missingIncludeSystem,Include file: <mutex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <mutex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/check.h,4,information,missingIncludeSystem,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/check.h,5,information,missingIncludeSystem,Include file: <cstdlib> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cstdlib> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/check.h,6,information,missingIncludeSystem,Include file: <ostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/check.h,8,information,missingInclude,"Include file: ""benchmark/export.h"" not found.","Include file: ""benchmark/export.h"" not found.",,0,,
OpenCC/deps/google-benchmark/src/internal_macros.h,5,information,missingIncludeSystem,Include file: <cstdlib> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cstdlib> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/log.h,4,information,missingIncludeSystem,Include file: <iostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <iostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/log.h,5,information,missingIncludeSystem,Include file: <ostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ostream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
OpenCC/deps/google-benchmark/src/log.h,29,style,noExplicitConstructor,Class 'LogType' has a constructor with 1 argument that is not explicit.,"Class 'LogType' has a constructor with 1 argument that is not explicit. Such, so called ""Converting constructors"", should in general be explicit for type safety reasons as that prevents unintended implicit conversions.",398,3,,LogType
OpenCC/deps/google-benchmark/src/mutex.h,91,style,noExplicitConstructor,Class 'MutexLock' has a constructor with 1 argument that is not explicit.,"Class 'MutexLock' has a constructor with 1 argument that is not explicit. Such, so called ""Converting constructors"", should in general be explicit for type safety reasons as that prevents unintended implicit conversions.",398,3,,MutexLock
OpenCC/deps/google-benchmark/src/mutex.h,101,style,noExplicitConstructor,Class 'Barrier' has a constructor with 1 argument that is not explicit.,"Class 'Barrier' has a constructor with 1 argument that is not explicit. Such, so called ""Converting constructors"", should in general be explicit for type safety reasons as that prevents unintended implicit conversions.",398,3,,Barrier
OpenCC/deps/google-benchmark/src/mutex.h,143,style,knownConditionTrueFalse,Condition 'phase_number_>phase_number_cp' is always false,Condition 'phase_number_>phase_number_cp' is always false,570,25,Condition 'phase_number_>phase_number_cp' is always false,
OpenCC/deps/google-benchmark/src/mutex.h,137,style,knownConditionTrueFalse,Condition 'phase_number_>phase_number_cp' is always false,Condition 'phase_number_>phase_number_cp' is always false,570,27,phase_number_cp is assigned 'phase_number_' here.,
