File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
ggml/examples/common-ggml.h,3,information,missingInclude,"Include file: ""ggml.h"" not found.","Include file: ""ggml.h"" not found.",,0,,
ggml/examples/common-ggml.h,5,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common-ggml.h,6,information,missingIncludeSystem,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common-ggml.h,7,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common-ggml.cpp,3,information,missingIncludeSystem,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common-ggml.cpp,4,information,missingIncludeSystem,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common-ggml.cpp,157,portability,invalidPointerCast,Casting from float * to signed char * is not portable due to different binary data representations on different platforms.,Casting from float * to signed char * is not portable due to different binary data representations on different platforms.,704,27,,
ggml/examples/common-ggml.cpp,223,portability,invalidPointerCast,Casting from float * to signed char * is not portable due to different binary data representations on different platforms.,Casting from float * to signed char * is not portable due to different binary data representations on different platforms.,704,24,,
ggml/examples/common-ggml.cpp,125,style,useStlAlgorithm,Consider using std::any_of algorithm instead of a raw loop.,Consider using std::any_of algorithm instead of a raw loop.,398,56,,
ggml/examples/common-ggml.cpp,133,style,useStlAlgorithm,Consider using std::any_of algorithm instead of a raw loop.,Consider using std::any_of algorithm instead of a raw loop.,398,56,,
ggml/examples/common.h,5,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,6,information,missingIncludeSystem,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,7,information,missingIncludeSystem,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,8,information,missingIncludeSystem,Include file: <random> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <random> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,9,information,missingIncludeSystem,Include file: <thread> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <thread> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,10,information,missingIncludeSystem,Include file: <ctime> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ctime> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,11,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.h,12,information,missingIncludeSystem,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,5,information,missingIncludeSystem,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,6,information,missingIncludeSystem,Include file: <codecvt> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <codecvt> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,7,information,missingIncludeSystem,Include file: <cstring> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cstring> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,8,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,9,information,missingIncludeSystem,Include file: <locale> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <locale> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,10,information,missingIncludeSystem,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <regex> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,11,information,missingIncludeSystem,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/common.cpp,14,style,constParameterReference,Parameter 'params' can be declared as reference to const,Parameter 'params' can be declared as reference to const,398,101,Parameter 'params' can be declared as reference to const,params
ggml/examples/common.cpp,118,style,constParameterReference,Parameter 'rng' can be declared as reference to const,Parameter 'rng' can be declared as reference to const,398,46,Parameter 'rng' can be declared as reference to const,rng
ggml/examples/common.cpp,353,style,constParameterReference,Parameter 'vocab' can be declared as reference to const,Parameter 'vocab' can be declared as reference to const,398,37,Parameter 'vocab' can be declared as reference to const,vocab
ggml/examples/common.h,265,style,constVariable,Variable 'cube' can be declared as const array,Variable 'cube' can be declared as const array,398,19,Variable 'cube' can be declared as const array,cube
ggml/examples/common.cpp,253,style,useStlAlgorithm,Consider using std::copy algorithm instead of a raw loop.,Consider using std::copy algorithm instead of a raw loop.,398,19,,
ggml/examples/common.cpp,285,style,useStlAlgorithm,Consider using std::copy algorithm instead of a raw loop.,Consider using std::copy algorithm instead of a raw loop.,398,27,,
ggml/examples/common.cpp,432,style,useStlAlgorithm,Consider using std::accumulate algorithm instead of a raw loop.,Consider using std::accumulate algorithm instead of a raw loop.,398,14,,
ggml/examples/common.cpp,448,style,useStlAlgorithm,Consider using std::transform algorithm instead of a raw loop.,Consider using std::transform algorithm instead of a raw loop.,398,11,,
ggml/examples/common.cpp,547,style,useStlAlgorithm,Consider using std::accumulate algorithm instead of a raw loop.,Consider using std::accumulate algorithm instead of a raw loop.,398,14,,
ggml/examples/common.cpp,563,style,useStlAlgorithm,Consider using std::transform algorithm instead of a raw loop.,Consider using std::transform algorithm instead of a raw loop.,398,11,,
ggml/examples/gpt-2/main-alloc.cpp,1,information,missingInclude,"Include file: ""ggml.h"" not found.","Include file: ""ggml.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,2,information,missingInclude,"Include file: ""ggml-cpu.h"" not found.","Include file: ""ggml-cpu.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,3,information,missingInclude,"Include file: ""ggml-alloc.h"" not found.","Include file: ""ggml-alloc.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,4,information,missingInclude,"Include file: ""ggml-backend.h"" not found.","Include file: ""ggml-backend.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,6,information,missingInclude,"Include file: ""common.h"" not found.","Include file: ""common.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,7,information,missingInclude,"Include file: ""common-ggml.h"" not found.","Include file: ""common-ggml.h"" not found.",,0,,
ggml/examples/gpt-2/main-alloc.cpp,9,information,missingIncludeSystem,Include file: <cassert> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cassert> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,10,information,missingIncludeSystem,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cmath> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,11,information,missingIncludeSystem,Include file: <cstdio> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cstdio> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,12,information,missingIncludeSystem,Include file: <cstring> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <cstring> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,13,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,14,information,missingIncludeSystem,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,15,information,missingIncludeSystem,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <string> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,16,information,missingIncludeSystem,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <vector> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
ggml/examples/gpt-2/main-alloc.cpp,812,style,knownConditionTrueFalse,"Condition '!gpt2_eval(model,allocr,params.n_threads,n_past,embd,logits)' is always false","Condition '!gpt2_eval(model,allocr,params.n_threads,n_past,embd,logits)' is always false",570,17,"Condition '!gpt2_eval(model,allocr,params.n_threads,n_past,embd,logits)' is always false",
ggml/examples/gpt-2/main-alloc.cpp,812,style,knownConditionTrueFalse,"Condition '!gpt2_eval(model,allocr,params.n_threads,n_past,embd,logits)' is always false","Condition '!gpt2_eval(model,allocr,params.n_threads,n_past,embd,logits)' is always false",570,27,Calling function 'gpt2_eval' returns 1,
ggml/examples/gpt-2/main-alloc.cpp,141,style,cstyleCast,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",398,22,,
ggml/examples/gpt-2/main-alloc.cpp,698,style,cstyleCast,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",398,10,,
ggml/examples/gpt-2/main-alloc.cpp,721,style,cstyleCast,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",398,27,,
ggml/examples/gpt-2/main-alloc.cpp,91,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,102,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,103,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,104,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,105,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,106,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,107,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
ggml/examples/gpt-2/main-alloc.cpp,125,warning,dangerousTypeCast,"Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast","Potentially invalid type conversion in old-style C cast, clarify/fix with C++ cast",398,18,,
