Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
ggml,flawfinder,CWE-119!/CWE-120,147,NO
ggml,flawfinder,CWE-120,626,NO
ggml,flawfinder,CWE-126,14,NO
ggml,flawfinder,CWE-134,11,NO
ggml,flawfinder,CWE-190,40,YES
ggml,flawfinder,CWE-20,232,YES
ggml,flawfinder,CWE-327,2,NO
ggml,flawfinder,CWE-362,18,YES
ggml,flawfinder,CWE-362/CWE-367!,40,NO
ggml,flawfinder,CWE-78,3,YES
ggml,flawfinder,CWE-807,43,NO
btop,flawfinder,CWE-119!/CWE-120,67,NO
btop,flawfinder,CWE-120,23,NO
btop,flawfinder,CWE-126,8,NO
btop,flawfinder,CWE-134,17,NO
btop,flawfinder,CWE-190,3,YES
btop,flawfinder,CWE-20,20,YES
btop,flawfinder,CWE-362,31,YES
btop,flawfinder,CWE-362/CWE-367!,12,NO
btop,flawfinder,CWE-78,5,YES
btop,flawfinder,CWE-807,13,NO
OpenCC,flawfinder,CWE-119!/CWE-120,96,NO
OpenCC,flawfinder,CWE-120,99,NO
OpenCC,flawfinder,CWE-126,45,NO
OpenCC,flawfinder,CWE-134,16,NO
OpenCC,flawfinder,CWE-190,1,YES
OpenCC,flawfinder,CWE-20,65,YES
OpenCC,flawfinder,CWE-327,30,NO
OpenCC,flawfinder,CWE-362,54,YES
OpenCC,flawfinder,CWE-377,5,NO
OpenCC,flawfinder,CWE-676,1,NO
OpenCC,flawfinder,CWE-78,4,YES
OpenCC,flawfinder,CWE-807,13,NO
OpenCC,flawfinder,nan,2,NO
ggml,cppcheck,CWE-197,1,NO
ggml,cppcheck,CWE-398,2488,NO
ggml,cppcheck,CWE-401,5,NO
ggml,cppcheck,CWE-457,36,NO
ggml,cppcheck,CWE-476,36,YES
ggml,cppcheck,CWE-561,471,NO
ggml,cppcheck,CWE-562,13,NO
ggml,cppcheck,CWE-563,145,NO
ggml,cppcheck,CWE-570,29,NO
ggml,cppcheck,CWE-571,34,NO
ggml,cppcheck,CWE-628,93,NO
ggml,cppcheck,CWE-665,1,NO
ggml,cppcheck,CWE-686,1,NO
ggml,cppcheck,CWE-704,150,NO
ggml,cppcheck,CWE-758,20,NO
ggml,cppcheck,CWE-771,1,NO
ggml,cppcheck,CWE-783,6,NO
btop,cppcheck,CWE-398,47,NO
btop,cppcheck,CWE-401,1,NO
btop,cppcheck,CWE-561,46,NO
btop,cppcheck,CWE-563,5,NO
btop,cppcheck,CWE-570,3,NO
btop,cppcheck,CWE-628,2,NO
btop,cppcheck,CWE-665,1,NO
btop,cppcheck,CWE-758,6,NO
OpenCC,cppcheck,CWE-398,232,NO
OpenCC,cppcheck,CWE-401,3,NO
OpenCC,cppcheck,CWE-476,15,YES
OpenCC,cppcheck,CWE-561,65,NO
OpenCC,cppcheck,CWE-563,12,NO
OpenCC,cppcheck,CWE-570,7,NO
OpenCC,cppcheck,CWE-571,4,NO
OpenCC,cppcheck,CWE-628,36,NO
OpenCC,cppcheck,CWE-704,2,NO
OpenCC,cppcheck,CWE-758,4,NO
ggml,codeql,CWE-020,13,NO
ggml,codeql,CWE-022,15,NO
ggml,codeql,CWE-023,15,NO
ggml,codeql,CWE-036,15,NO
ggml,codeql,CWE-073,15,NO
ggml,codeql,CWE-114,1,NO
ggml,codeql,CWE-129,2,NO
ggml,codeql,CWE-190,38,YES
ggml,codeql,CWE-191,25,NO
ggml,codeql,CWE-197,13,NO
ggml,codeql,CWE-681,13,NO
ggml,codeql,CWE-468,14,NO
ggml,codeql,CWE-570,3,NO
ggml,codeql,CWE-252,3,NO
ggml,codeql,CWE-755,3,NO
ggml,codeql,CWE-676,2,NO
btop,codeql,CWE-367,1,NO
OpenCC,codeql,CWE-020,11,NO
OpenCC,codeql,CWE-022,4,NO
OpenCC,codeql,CWE-023,4,NO
OpenCC,codeql,CWE-036,4,NO
OpenCC,codeql,CWE-073,4,NO
OpenCC,codeql,CWE-190,4,YES
OpenCC,codeql,CWE-197,3,NO
OpenCC,codeql,CWE-835,1,NO
OpenCC,codeql,CWE-681,2,NO
OpenCC,codeql,CWE-789,1,NO
OpenCC,codeql,CWE-367,1,NO
OpenCC,codeql,CWE-732,3,NO
