File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./OpenCC/deps/google-benchmark/src/colorprint.cc,92,14,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  auto ret = vsnprintf(local_buff, size, msg, args_cp);",ae592a9c5cbb5964a366aebe2931b5b4328df5aa9db9ece0169488e4458f4968,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/colorprint.cc,107,11,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    ret = vsnprintf(buff.get(), size, msg, args);",70ff92feaed741b479dd154ac9cddb43fd40a43d00718ff12e7477df06cceed3,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/colorprint.cc,146,3,4,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vprintf(fmt, args);",32aafab62bda8cf090bbce6d0efbb71f9cb7c029e79a7c784f4fef3986ec7ae4,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/string_util.cc,139,14,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  auto ret = vsnprintf(local_buff.data(), local_buff.size(), msg, args_cp);",b65d0329c35f0d53eedd6b62c44283d43df32fa997041f06f321451d9fb24c50,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/string_util.cc,154,3,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vsnprintf(buff_ptr.get(), size, msg, args);",449c5339e2bf318c3765c9189a0180e9aeb8b5c3bce88b266669345845f5c687,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/string_util.h,23,23,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"__attribute__((format(printf, 1, 2)))",40ebd2b7ffe2033acbbfc099677f6eb8f0f19777c649cf3f9fe2d532ebf86534,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./OpenCC/deps/google-benchmark/src/string_util.h,39,20,4,4,buffer,StrCat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,,,CWE-120,inline std::string StrCat(Args&&... args) {,38737835c209e6306d1b3b45d963dfdef3a47d4e30b58757353474382067fa56,2.0.19,FF1007,https://cwe.mitre.org/data/definitions/120.html
./OpenCC/deps/google-benchmark/src/sysinfo.cc,19,8,4,4,buffer,StrCat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,,,CWE-120,#undef StrCat  // Don't let StrCat in string_util.h be renamed to lstrcatA,be97aa49577f0d37ffa5a9010b9e82f58fad6e188a839c5b6406e6a6a1a20d20,2.0.19,FF1007,https://cwe.mitre.org/data/definitions/120.html
./OpenCC/deps/google-benchmark/src/sysinfo.cc,223,9,4,4,buffer,StrCat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,,,CWE-120,"        StrCat(""/sys/devices/system/cpu/cpu"", cpu, ""/cpufreq/scaling_governor"");",0a08e08458f5799d8c000fbd2c361339279f8c658395c4b6a5003556ae96553f,2.0.19,FF1007,https://cwe.mitre.org/data/definitions/120.html
./OpenCC/deps/google-benchmark/src/sysinfo.cc,259,25,4,4,buffer,StrCat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,,,CWE-120,"    std::string fpath = StrCat(dir, ""index"", idx++, ""/"");",80316d15cf09e00523b27c0698a778a6e4ad39fbefe1e09d5675dc98894d69ef,2.0.19,FF1007,https://cwe.mitre.org/data/definitions/120.html
./OpenCC/deps/google-benchmark/src/sysinfo.cc,260,21,4,4,buffer,StrCat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,,,CWE-120,"    std::ifstream f(StrCat(fpath, ""size"").c_str());",addbec5831c7a382ddad826906de7ab1cdb7b3957bd943b0699fc73414001355,2.0.19,FF1007,https://cwe.mitre.org/data/definitions/120.html
