File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./btop/include/fmt/os.h,169,8,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"  std::system(format(""say \""{}\"""", format(fmt, args...)).c_str());",c7db8e76405ec52321c1dd1568b1d3b6d4ff81dfe583167a3842b7384ec4c710,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
./btop/include/fmt/printf.h,392,6,4,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"void vprintf(buffer<Char>& buf, basic_string_view<Char> format,",5021b2a0a5cf4c2790de73d764d80bee51197857ad235b7ec136b0c8cf0d988a,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,553,13,4,4,format,vsprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"inline auto vsprintf(basic_string_view<Char> fmt,",2e00cea7d8e657cb41fa01c345b382844bbf5745378bb759db35c9320eb18297,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,557,11,4,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  detail::vprintf(buf, fmt, args);",a0aa45c94c4cc75fe46aab8c427de41c8918c68d28cb16442eda66a67411e7df,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,570,13,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"inline auto sprintf(string_view fmt, const T&... args) -> std::string {",3dabea3b87c67bb1b9fbab490f7e5c27f5d077efa7d714c43a6b0f53d06df821,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,571,10,4,4,format,vsprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"  return vsprintf(fmt, make_printf_args(args...));",b86cb6a18180c093e192b40dbd32f0ed141947cb5f8ef5fc90ec2ceda66aa62f,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,574,21,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"FMT_DEPRECATED auto sprintf(basic_string_view<wchar_t> fmt, const T&... args)",3334bb3b69656d5b68cf754bb3137957fce361f58e51476290be593224a547d3,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,576,10,4,4,format,vsprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"  return vsprintf(fmt, make_printf_args<wchar_t>(args...));",641fd543fff7715f95d352b32d286c6d04e7140e72ebd07a60852b68db9a67f1,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,580,6,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"auto vfprintf(std::FILE* f, basic_string_view<Char> fmt,",c28ec45598981ab2f33bdade748a964a545afda404420f5cd5c37c342a330a2c,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,583,11,4,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  detail::vprintf(buf, fmt, args);",a0aa45c94c4cc75fe46aab8c427de41c8918c68d28cb16442eda66a67411e7df,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,599,13,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"inline auto fprintf(std::FILE* f, string_view fmt, const T&... args) -> int {",dc8243d06b03103c1ab04a761a62900b66da3317467fc16f47c42ccaf0e82a14,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,600,10,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  return vfprintf(f, fmt, make_printf_args(args...));",64b7895a773eb2c8abd7af73a049ca4d9fb9473a81e23bd547fcad8af0eec475,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,603,21,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"FMT_DEPRECATED auto fprintf(std::FILE* f, basic_string_view<wchar_t> fmt,",c40145780954bcddcf555facf3b2761e62f12ef202e2860d7b0b62f2aeeb5217,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,605,10,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  return vfprintf(f, fmt, make_printf_args<wchar_t>(args...));",cb179ff4cf6fd18cad25b2080e040bd3ead352a38bee7ae2125ea5d44995f8ba,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,617,13,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"inline auto printf(string_view fmt, const T&... args) -> int {",bc55bd67353027a427f65d229359e41e82d6603d0004bc027885e8d6bb567a1e,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./btop/include/fmt/printf.h,618,10,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  return vfprintf(stdout, fmt, make_printf_args(args...));",381faa67d17ceb80f3ab7b200463232c241fd5ac639889e3f7c443a10cc834bc,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./btop/src/btop.cpp,883,55,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"		if (ec or not fs::is_directory(Theme::theme_dir) or access(Theme::theme_dir.c_str(), R_OK) == -1) Theme::theme_dir.clear();",245b94583f160d9a19ffaa6a36e594a26c8eab04d0792da604a4aaff4e9778c7,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./btop/src/btop.cpp,888,51,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"			if (fs::is_directory(fs::path(theme_path)) and access(theme_path, R_OK) != -1) {",f54942af4ee7f028bc51af619465547eb18ff34bcde71c0fa29585383dfa749d,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
