File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./ggml/src/ggml-backend-reg.cpp,454,23,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","        ssize_t len = readlink(""/proc/self/exe"", path.data(), path.size());",7a80908e9972915b0769a1d2f920543e4634c891566190fdf3ba7c9ad68f6bef,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
./ggml/src/ggml-backend-reg.cpp,456,23,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","        ssize_t len = readlink(""/proc/curproc/file"", path.data(), path.size());",933dbd3b96835a6ad359bc9f8a67b5d37f893a4f53fb1c879a906509fef680c6,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
./ggml/include/ggml.h,204,62,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"#    define GGML_ATTRIBUTE_FORMAT(...) __attribute__((format(printf, __VA_ARGS__)))",61905f53cef0f8f7a8d810c642fc9785646b9ce55a9cfb7ff321a31883b28018,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
./ggml/src/ggml-backend.cpp,768,30,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"#define SET_CAUSE(node, ...) sprintf(causes[hash_id(node)], __VA_ARGS__)",ced398fbcadc414266f1bc9319c69b53bc44ed61aa164dc9f0baef8d24fc67fa,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
./ggml/src/ggml-opt.cpp,280,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(new_tensor->name, tensor->name);",aad3bd78a728ef18c3018b4f01b7798a9b18defd0aa9923f6c80d065ea81a417,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
./ggml/src/ggml-rpc/ggml-rpc.cpp,1100,9,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"        snprintf(hash_str, sizeof(hash_str), ""%016"" PRIx64, hash);",49b6b0c648f4ab21532401e719ed6519549890db2822a71227c63fda7efb8c4d,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./ggml/src/ggml-rpc/ggml-rpc.cpp,1116,5,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    snprintf(hash_str, sizeof(hash_str), ""%016"" PRIx64, hash);",49b6b0c648f4ab21532401e719ed6519549890db2822a71227c63fda7efb8c4d,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
./ggml/src/ggml-sycl/common.hpp,61,13,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"            fprintf(stderr, __VA_ARGS__); \",bbe9670c6812e9424a68276674746d07a6a2408ab123569c58c91fb002dc2484,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
./ggml/src/ggml-sycl/common.hpp,482,45,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    return acc.template get_multi_ptr<sycl::access::decorated::no>().get();,3d504f9b4af49878d10431151148c18638c96d1d9a0881a9baea03aa3c4f2a45,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dequantize.hpp,404,28,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dequantize.hpp,443,28,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,1300,36,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,            static constexpr sycl::access::target target =,dd5d197d9735ac1bcd08988ae03eaa064393d8dfb999046fb873f402e960fb0d,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,1301,23,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                sycl::access::target::device;,dfe4214a874c5114341e9b2af9ef2c1266ff45dc15882763ac15516e8b01a556,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2905,19,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,            sycl::access::address_space addressSpace =,f858786ea75b21e3630bc69a29ccffc88a4c707ce8c48795951692d9b77913ef,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2906,23,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"                sycl::access::address_space::global_space,",b043a28aed315c9a3efc83053cb2c9e0c1e8e9424ec0e90339715785dba107b6,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2915,21,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    template <sycl::access::address_space addressSpace =,150d76488675afbbce9f467a258231c0551170855d5da58fbf4c6c6ff05b0bca,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2916,23,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"                sycl::access::address_space::global_space,",b043a28aed315c9a3efc83053cb2c9e0c1e8e9424ec0e90339715785dba107b6,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2926,33,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"    template <typename T, sycl::access::address_space addressSpace =",33ce269057387d95b32a08f470b009dd3492a0bf1e0a77f7faf7f8a6d882efd9,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2927,35,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                            sycl::access::address_space::global_space>,80d766f7309be1817d227e92fec4869bd7e42ebc672e84bb133d4123e9bbbd9e,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2947,21,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    template <sycl::access::address_space addressSpace =,150d76488675afbbce9f467a258231c0551170855d5da58fbf4c6c6ff05b0bca,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/dpct/helper.hpp,2948,23,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"                sycl::access::address_space::global_space,",b043a28aed315c9a3efc83053cb2c9e0c1e8e9424ec0e90339715785dba107b6,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1529,28,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,    item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1557,36,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,            item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1758,64,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                        dpct_local_acc_ct1.get_multi_ptr<sycl::access::decorated::no>(),b3fc801b7d674230028701ac062c276b677086ee9783242c89df2bec0666136a,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1772,64,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                        dpct_local_acc_ct1.get_multi_ptr<sycl::access::decorated::no>(),b3fc801b7d674230028701ac062c276b677086ee9783242c89df2bec0666136a,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1812,40,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./ggml/src/ggml-sycl/ggml-sycl.cpp,1823,44,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                    item_ct1.barrier(sycl::access::fence_space::local_space);,64f0c855e93835df898d1fdaf0365e9016b9092a8e827334c2fc5622d1f71707,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
